subject_name,course_name,language,absolute_course_url
Mathematics Courses,Effective Thinking Through Mathematics,English,https://www.classcentral.com/course/edx-effective-thinking-through-mathematics-1335
Mathematics Courses,Queuing Theory: from Markov Chains to Multi-Server Systems,English,https://www.classcentral.com/course/edx-queuing-theory-from-markov-chains-to-multi-server-systems-10079
Mathematics Courses,Intro to Descriptive Statistics,English,https://www.classcentral.com/course/udacity-intro-to-descriptive-statistics-2309
Mathematics Courses,Introduction to Renormalization,English,https://www.classcentral.com/course/complexity-explorer-introduction-to-renormalization-11490
Art & Design Courses,In the Studio: Postwar Abstract Painting,English,https://www.classcentral.com/course/painting-8349
Art & Design Courses,Principles of Photo Composition and Digital Image Post-Production,English,https://www.classcentral.com/course/photocourse3-5532
Art & Design Courses,Introduction to Imagemaking,English,https://www.classcentral.com/course/image-making-5455
Art & Design Courses,Graphic Design,English,https://www.classcentral.com/course/presentation-design-6597
Art & Design Courses,Innovation Career Lessons from a Master,English,https://www.classcentral.com/course/startup-entrepreneurship-innovation-care-5516
Humanities Courses,Tsinghua Chinese: Start Talking with 1.3 Billion People,English,https://www.classcentral.com/course/edx-tsinghua-chinese-start-talking-with-1-3-billion-people-5426
Humanities Courses,Basic Spanish 2: One Step Further,English,https://www.classcentral.com/course/edx-basic-spanish-2-one-step-further-8672
Humanities Courses,Shakespeare Matters,English,https://www.classcentral.com/course/edx-shakespeare-matters-8731
Humanities Courses,Moralities of Everyday Life,English,https://www.classcentral.com/course/moralities-911
Humanities Courses,Upper-Intermediate English: Business,English,https://www.classcentral.com/course/edx-upper-intermediate-english-business-11800
Humanities Courses,"The Bible's Prehistory, Purpose, and Political Future",English,https://www.classcentral.com/course/biblefuture-1406
Programming Courses,Java Programming: Solving Problems with Software,English,https://www.classcentral.com/course/java-programming-4305
Programming Courses,Agile Development Using Ruby on Rails - The Basics,English,https://www.classcentral.com/course/edx-agile-development-using-ruby-on-rails-the-basics-443
Programming Courses,"HTML, CSS, and Javascript for Web Developers",English,https://www.classcentral.com/course/html-css-javascript-for-web-developers-4270
Programming Courses,"C++ For C Programmers, Part A",English,https://www.classcentral.com/course/c-plus-plus-a-671
Programming Courses,Introduction to CSS3,English,https://www.classcentral.com/course/introcss-4294
Personal Development Courses,Strengthening Your Widening Network ,English,https://www.classcentral.com/course/strengthening-your-widening-network-5619
Personal Development Courses,Successful Presentation,English,https://www.classcentral.com/course/presentation-skills-6596
Personal Development Courses,Improving Communication Skills,English,https://www.classcentral.com/course/wharton-communication-skills-8235
Personal Development Courses,Job Success: Get Hired or Promoted in 3 Steps,English,https://www.classcentral.com/course/get-hired-7091
